second,throughput
4,200
5,313
6,304
7,1289
8,2207
9,3027
10,2682
11,2892
12,4104
13,4519
14,4802
15,5144
16,4482
17,4451
18,5462
19,4584
20,5048
21,5202
22,4961
23,4923
24,3901
25,4960
26,4842
27,4491
28,4364
29,4488
30,4577
31,5141
32,4736
33,4706
34,3711
35,4672
36,4896
37,4458
38,4804
39,3977
40,3828
41,4217
42,3853
43,4279
44,4045
45,4434
46,5069
47,5099
48,5172
49,4784
50,5077
51,4923
52,5065
53,5144
54,4487
55,4754
56,4286
57,4548
58,5146
59,4566
60,4945
61,5102
62,4856
63,4642
64,4648
65,4924
66,4991
67,4179
68,4479
69,4784
70,4302
71,4797
72,4830
73,4779
74,4880
75,5010
76,5162
77,4516
78,4940
79,5126
80,5018
81,4364
82,4376
83,4371
84,4398
85,4625
86,4588
87,4742
88,4455
89,4855
90,4794
91,4683
92,5207
93,4757
94,5285
95,4332
96,4729
97,4132
98,4205
99,4588
100,5003
101,4895
102,4557
103,5199
104,5106
105,4579
106,5173
107,4652
108,5005
109,4575
110,4873
111,4357
112,4643
113,3970
114,4906
115,4014
123,1
